word	level
合计	7
合资	7
合适	3
吉他	7
吉利	7
吉祥	6
吉祥物	7
吊	6
吊销	7
同	5
同一	5
同事	3
同仁	7
同伙	7
同伴	6
同学	1
同志	7
同情	5
同意	3
同感	7
同时	4
同期	7
同样	4
同步	7
同比	7
同盟	7
同等	7
同类	6
同胞	7
同舟共济	7
同行	6
名	2
名义	7
名人	3
名利	7
名副其实	7
名单	3
名声	7
名字	1
名次	7
名气	6
名片	5
名牌	5
名称	5
名胜	6
名著	7
名言	7
名誉	7
名贵	7
名额	6
后	1
后世	7
后人	6
后代	6
后勤	7
后台	7
后备	7
后备箱	7
后天	3
后年	3
后悔	4
后期	6
后来	3
后果	5
后盾	7
后续	7
后者	6
后裔	7
后退	6
后遗症	7
后面	2
后顾之忧	7
吐	6
吐槽	7
向	3
向上	5
向导	7
向往	6
向来	7
吓	6
吓人	7
吓唬	7
吗	1
君子	7
吝啬	7
吞	6
吞吞吐吐	7
否决	7
否则	4
否定	5
否认	5
吧	1
吨	5
吩咐	7
含	5
含义	6
含有	5
含糊	7
含蓄	7
含量	5
听	1
听从	7
听众	4
听力	4
听取	6
听见	1
听觉	6
听话	6
听说	3
启事	6
启动	6
启发	6
启用	7
启示	6
启程	7
启蒙	7
启迪	7
吵	5
吵架	6
吸	4
吸取	6
吸引	4
吸收	5
吸毒	7
吸管	5
吸纳	7
吹	4
吹捧	7
吹牛	7
吻	7
吻合	7
吼	7
呀	5
呆	6
呈	7
呈现	6
告	7
告别	5
告状	7
告知	7
告示	7
告诉	2
告诫	7
告辞	7
呐喊	7
呕吐	7
员	3
员工	5
呛	7
呜咽	7
呢	1
周	2
周到	6
周围	4
周密	7
周岁	7
周年	5
周折	7
周旋	7
周期	6
周末	3
周转	7
周边	6
味	4
味精	7
味觉	6
味道	4
呵	7
呵护	7
呻吟	7
呼	7
呼吁	7
